;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20
o971;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1
o972;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;1
o973;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;1;0
o974;0;1;1;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;0
o975;0;0;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0
o976;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0
o977;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;1;1;0;1
o978;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;0;0;1
o979;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0
o980;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1
o981;1;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;1;0;1;0
o982;1;0;0;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;0
o983;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
o984;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;1;1;1;0;0
o985;1;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;1;1;0
o986;0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;0;1;0;0;1
o987;0;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1
o988;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0
o989;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1
o990;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1
o991;1;0;0;0;1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;1
o992;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;0;1
o993;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1
o994;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0
o995;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0
o996;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0
o997;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0
o998;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0
o999;1;1;1;1;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0
o1000;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1
o1001;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1
o1002;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0
o1003;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0
o1004;0;0;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;1;1;1
o1005;1;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1
o1006;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0
o1007;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1
o1008;1;1;0;1;0;0;1;1;1;1;0;1;1;1;0;0;0;1;1;0
o1009;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0
o1010;1;0;0;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0
o1011;1;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0
o1012;1;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0
o1013;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;0;1;0
o1014;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0
o1015;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;0;1
o1016;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1
o1017;0;1;0;1;0;1;1;0;1;0;1;1;1;0;0;1;1;0;0;1
o1018;1;1;0;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1
o1019;0;1;0;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1
o1020;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0
o1021;1;0;1;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1
o1022;0;0;1;0;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0
o1023;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1
o1024;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;0;0;1
o1025;1;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1
o1026;1;0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0
o1027;1;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1
o1028;1;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1
o1029;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;1;0;1;0;0
o1030;1;0;1;1;1;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0
o1031;1;1;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0
o1032;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0
o1033;1;0;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0
o1034;0;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0
o1035;0;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;1;0;1
o1036;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0
o1037;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0
o1038;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1
o1039;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;0
o1040;0;1;0;1;1;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1
o1041;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1
o1042;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;1
o1043;0;1;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;1
o1044;1;0;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0
o1045;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1
o1046;0;1;0;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;0;1
o1047;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0
o1048;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;0
o1049;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;1
o1050;1;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;0;1
o1051;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1
o1052;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;1;0
o1053;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0;1;1
o1054;1;0;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0;1
o1055;0;1;1;0;1;1;1;0;1;0;0;0;1;0;1;0;1;0;0;1
o1056;0;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;0
o1057;0;1;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;1;0;1
o1058;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;1;1;1
o1059;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
o1060;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0
o1061;0;0;1;0;0;1;0;1;1;1;1;1;0;0;1;1;0;1;0;1
o1062;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1;1;1
o1063;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0
o1064;1;0;0;1;1;1;1;0;1;0;0;1;1;0;0;1;0;1;0;0
o1065;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;1;0
o1066;1;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1
o1067;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1
o1068;0;0;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1
o1069;1;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1
o1070;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;0;0;0;0;1
o1071;0;0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1
o1072;1;1;1;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;1
o1073;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1
o1074;1;0;1;1;0;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0
o1075;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;1;0
o1076;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;1
o1077;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0
o1078;1;1;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;1;0;1
o1079;1;0;0;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1;0;1
o1080;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0
o1081;1;0;1;0;0;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0
o1082;0;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1
o1083;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0
o1084;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1
o1085;0;1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;0;1;0;0
o1086;0;0;1;1;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1
o1087;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;1;0
o1088;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0
o1089;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1
o1090;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;0
o1091;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0
o1092;1;0;0;1;0;0;1;1;1;0;1;0;0;1;1;1;1;0;0;1
o1093;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;0
o1094;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0
o1095;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0
o1096;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;1;1;1;1
o1097;1;0;1;1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0
o1098;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1
o1099;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0
o1100;1;0;0;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;0
o1101;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0
o1102;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1
o1103;1;1;0;0;0;1;0;0;1;0;1;1;1;0;1;1;1;0;1;1
o1104;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;0;1;0;1;0
o1105;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1;1
o1106;1;1;0;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;0;1
o1107;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;1;1
o1108;0;0;1;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;0;1
o1109;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;1;1;1;0
o1110;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0
o1111;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
o1112;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0
o1113;1;1;1;1;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;0
o1114;1;0;1;1;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;1
o1115;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;1
o1116;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;1;1
o1117;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1
o1118;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0
o1119;1;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1
o1120;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0
o1121;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1
o1122;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0
o1123;0;0;0;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;1
o1124;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0
o1125;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0
o1126;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;1
o1127;0;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0
o1128;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1
o1129;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1
o1130;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0
o1131;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0;1;0;0;1
o1132;0;1;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;1
o1133;0;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0
o1134;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1
o1135;0;0;1;0;0;1;0;1;0;1;1;1;0;1;0;1;1;1;1;1
o1136;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;0
o1137;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1
o1138;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1
o1139;1;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1
o1140;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1
o1141;0;0;1;0;1;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1
o1142;1;0;1;1;0;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1
o1143;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1
o1144;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1
o1145;0;0;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1
o1146;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1
o1147;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0
o1148;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;1;0;1
o1149;0;1;1;0;0;1;0;1;1;1;0;0;1;1;0;1;1;0;0;0
o1150;1;0;1;1;1;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1
o1151;1;0;1;0;1;0;1;1;0;1;1;1;0;0;1;0;1;0;1;1
o1152;0;1;1;1;1;0;1;0;0;1;0;0;1;1;1;1;1;0;1;0
o1153;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;0;1
o1154;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0
o1155;0;1;0;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;1
o1156;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;1
o1157;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;0;1;1;0
o1158;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;1;1;1
o1159;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;1;0
o1160;1;0;0;1;0;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1
o1161;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1
o1162;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1
o1163;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0
o1164;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;1;0;1
o1165;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0
o1166;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0
o1167;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;1
o1168;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
o1169;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0
o1170;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0
o1171;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0
o1172;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1;0;1;1
o1173;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0
o1174;1;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0
o1175;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;1;1;1;1;0
o1176;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1
o1177;0;0;0;1;0;1;1;1;0;0;1;1;1;1;0;0;1;0;0;0
o1178;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1
o1179;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0
o1180;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;1
o1181;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0
o1182;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1
o1183;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1
o1184;1;0;1;0;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0
o1185;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1
o1186;1;1;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;1
o1187;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0
o1188;1;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1
o1189;1;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1
o1190;1;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;1;0;0;1
o1191;0;0;0;1;0;1;1;0;0;1;1;1;0;1;0;1;0;1;0;0
o1192;0;1;0;1;1;1;0;1;1;0;1;0;1;1;0;0;0;1;1;1
o1193;0;1;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0
o1194;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0
o1195;0;1;1;0;0;1;0;1;1;1;0;1;1;0;0;1;0;1;0;1
o1196;0;1;1;1;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1
o1197;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;1;1;1;0;1
o1198;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;1
o1199;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;0;1;1
o1200;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;0
o1201;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1
o1202;0;1;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;1
o1203;1;1;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;1;1;0
o1204;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;0
o1205;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1
o1206;0;1;0;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;1
o1207;1;0;0;0;1;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0
o1208;1;0;0;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1
o1209;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0
o1210;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1
o1211;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;0;0;1
o1212;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1
o1213;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;1
o1214;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;1
o1215;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;1;0
o1216;0;1;0;0;1;0;1;1;0;1;1;0;0;0;1;1;1;0;1;0
o1217;1;0;1;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0;1;1
o1218;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0
o1219;0;1;1;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0
o1220;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;0;1
o1221;1;1;1;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;0;1
o1222;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;1
o1223;0;0;0;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1
o1224;0;0;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0
o1225;0;1;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;0
o1226;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;1
o1227;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0
o1228;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1
o1229;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
o1230;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0
o1231;1;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;0;1
o1232;1;1;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1
o1233;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1
o1234;1;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;0;0;0
o1235;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1
o1236;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0
o1237;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0
o1238;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1
o1239;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1
o1240;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1
o1241;0;0;0;1;1;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0
o1242;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0
o1243;1;0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1;0;1
o1244;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;1
o1245;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;1;1;1;1
o1246;1;0;1;0;0;1;0;1;1;1;1;0;0;1;1;1;0;1;0;0
o1247;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;1;0
o1248;1;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1;1;1;1;0
o1249;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;0;1;0
o1250;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0
o1251;1;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;0;0;1
o1252;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1
o1253;0;1;0;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1
o1254;0;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1
o1255;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0
o1256;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1
o1257;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1
o1258;0;1;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0;1;1;1
o1259;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;1;0;1;1;0
o1260;0;0;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0
o1261;1;0;0;1;0;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1
o1262;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;1;1
o1263;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0
o1264;0;1;1;0;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1;1
o1265;1;0;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;0;0;0
o1266;1;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0
o1267;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1
o1268;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1
o1269;1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0
o1270;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1
o1271;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0
o1272;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1
o1273;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1
o1274;0;0;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1
o1275;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1
o1276;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1
o1277;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;1;1;1
o1278;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;0;1
o1279;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;1;0
o1280;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;1
o1281;0;1;0;0;1;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0
o1282;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0
o1283;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0
o1284;1;1;0;1;1;0;1;1;1;0;1;0;0;0;1;0;0;1;0;0
o1285;0;0;0;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0
o1286;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0
o1287;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1
